"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"SECO10","Secure your enterprise with a strong identity foundation","Security","Session","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
","Sue Bohn
","Microsoft
","secure your enterprise with a strong identity foundation"
"SECO30","End-to-end cloud security for all your XaaS resources","Security","Session","Advanced (300)","Microsoft 365	Security Management
Microsoft 365
","Yinon Costica
","Microsoft
","end-to-end cloud security for all your xaas resources"
"BRK3318","Modernize your WinForms & WPF applications with .NET Core and Windows 10","Citizen Dev","Session","Advanced (300)","","Miguel Ramos
Adam Braden
","Microsoft
Microsoft
","modernize your winforms & wpf applications with .net core and windows 10"
"BRK3321","The modern Windows Command Line: Windows Terminal","Citizen Dev","Session","Advanced (300)","","Kayla Cinnamon
","Microsoft
","the modern windows command line: windows terminal"
"BRK3052","How do we operate Microsoft Data Center with zero trust","Compliance","","Advanced (300)","","Art Sadovsky
","Microsoft
","how do we operate microsoft data center with zero trust"
"BRK2229","Unveil all the tools you need to use for risk management and compliance: Microsoft 365 compliance center","Compliance","Session","Intermediate (200)","","Ruchi Chopra
","Microsoft Corporation
","unveil all the tools you need to use for risk management and compliance: microsoft 365 compliance center"
"COMP50","Supercharge your ability to simplify and automate IT risk assessment","Compliance","Session","Intermediate (200)","","Om Vaiti
Tina Ying
","Microsoft
Microsoft
","supercharge your ability to simplify and automate it risk assessment"
"CLB30","Microsoft OneDrive and intelligent file experiences in Microsoft 365","Productivity","Customer Showcase","Intermediate (200)","","Jason Moore
Mark Kashman
Miceile Barrett
Paul SAUNDERS
","Microsoft
Microsoft
MSFT OneDrive & SharePoint
Nestlé
","microsoft onedrive and intelligent file experiences in microsoft 365"
"BRK3002","Using video to connect leaders and employees on Yammer","Productivity","Session","Advanced (300)","","Kasia Krzoska
Steve Nguyen
","Microsoft - Yammer
Microsoft
","using video to connect leaders and employees on yammer"
"BRK2053","The latest innovations in SharePoint, OneDrive, and Office for content collaboration in Microsoft 365","Productivity","Session","Intermediate (200)","Microsoft 365	Social and Intranet
Microsoft 365
Microsoft 365	Files and Content
Microsoft 365	Information Protection
","Jeff Teper
","Microsoft Corporation
","the latest innovations in sharepoint, onedrive, and office for content collaboration in microsoft 365"
"THR3084","Microsoft 365 admin: Ask us anything","Management","Session","Advanced (300)","Microsoft 365	Device and Application Management
Microsoft 365
Microsoft 365	Identity and Access Management
Microsoft 365	Security Management
","Aaron Woo
Ben Appleby
Alice Appleton
Tim Heeney
Karissa Larson
Yeonsoo Kim
","Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
","microsoft 365 admin: ask us anything"
"BRK3181","Advanced monitoring: Azure Monitor best practices you should know","Infrastructure","Session","Advanced (300)","Azure	Management and Governance
Azure
","Ketan Ghelan
Rahul Bagaria
","Microsoft
Microsoft
","advanced monitoring: azure monitor best practices you should know"
"BRK2181","Bosch: Helping to save lives with the wrong-way driver warning system using Kubernetes and cloud-native tech","Development","Customer Showcase","Intermediate (200)","","Bernhard Rode
Le Hai Dang
Ricardo Niepel
","Robert Bosch GmbH
Robert Bosch GmbH
Microsoft
","bosch: helping to save lives with the wrong-way driver warning system using kubernetes and cloud-native tech"
"BRK3238","The now and then of cloud native application in the enterprise using containers","Development","Session","Advanced (300)","Azure	Containers
Azure
Azure	DevOps 
Azure	Integration
","BRENDAN BURNS
Stella Lin
","Microsoft
Microsoft
","the now and then of cloud native application in the enterprise using containers"
"THR3021","Create stunning 3D web experiences with Babylon.js","Development","Session","Advanced (300)","","Jason Carter
","Microsoft
","create stunning 3d web experiences with babylon.js"
"THR2177","New and flexible way to use Office 365 ProPlus on your shared devices","Productivity","Session","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
Microsoft 365	Applications
Microsoft 365	Device and Application Management
Microsoft 365	Identity and Access Management
Microsoft 365	Meetings and Voice
","TJ Devine
Yana Terukhova
","Microsoft
Microsoft
","new and flexible way to use office 365 proplus on your shared devices"
"THR2350","3D isn’t just for the Movies: How to tell a compelling story","","Session","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Files and Content
","Jessica Chen
","Microsoft
","3d isn’t just for the movies: how to tell a compelling story"
"THR3024","Provide a great end user update experience by utilizing Windows Update management policies","","","Advanced (300)","","Aria Carley
","Microsoft
","provide a great end user update experience by utilizing windows update management policies"
"THR2032","Windows Virtual Desktop: Bringing the Windows experience to the platforms and devices preferred by your users","","","Intermediate (200)","","Sandeep Patnaik
","Microsoft
","windows virtual desktop: bringing the windows experience to the platforms and devices preferred by your users"
"DEP40","Supercharge PC and mobile device management: Attach Configuration Manager to Microsoft Intune and the Microsoft 365 cloud","","","Advanced (300)","","Jason Githens
Rob York
","Microsoft
Microsoft
","supercharge pc and mobile device management: attach configuration manager to microsoft intune and the microsoft 365 cloud"
"DEP10","Why Windows 10 Enterprise and Office 365 ProPlus? Security, privacy, and a great user experience","","","Intermediate (200)","","Joe Lurie
Steve Conn
","Microsoft
Microsoft
","why windows 10 enterprise and office 365 proplus? security, privacy, and a great user experience"
"BRK2081","Keeping 600 million devices protected, productive, and healthy: An insider’s view of the Windows Update service","","","Intermediate (200)","","Carlos Picoto
","Microsoft
","keeping 600 million devices protected, productive, and healthy: an insider’s view of the windows update service"
"BRK2083","Enterprise app management with MSIX","","","Intermediate (200)","","John Vintzel
","Microsoft
","enterprise app management with msix"
"BRK2148","Secure your virtual machines in Azure today","Security","Session","Intermediate (200)","Azure	Security
Azure
","Nicholas DiCola
","Microsoft
","secure your virtual machines in azure today"
"BRK2383","End to end security for IoT","Security","Session","Intermediate (200)","Azure	Security
Azure
","Eti Fakiri
Idan Perkal
Ofir Barzilay
","Microsoft
Microsoft
Microsoft
","end to end security for iot"
"BRK3192","Seamless connectivity to Azure with Windows Server and hybrid networking","Infrastructure","Session","Advanced (300)","Azure	Migration
Azure
","Greg Cusanza
","Microsoft
","seamless connectivity to azure with windows server and hybrid networking"
"BRK2234","Customer showcase and Q&A: Enriching culture and driving a more engaged workforce","Customer Success","Panel Discussion","Intermediate (200)","","Steve Nguyen
John Moore
Chance Houston
Amy Dolzine
","Microsoft
Cerner
Mattress Firm
Ernst & Young, LLP
","customer showcase and q&a: enriching culture and driving a more engaged workforce"
"BRK2237","Dynamics 365 and Power Platform: Data residency and migrations","Infrastructure","Session","Intermediate (200)","Dynamics 365
Dynamics 365	Sales
Dynamics 365	Retail and Commerce
Dynamics 365	Customer Service
Dynamics 365	Customer Engagement
Dynamics 365	Finance and Operations
Power Platform	PowerApps
Power Platform
Dynamics 365	Field Service
Dynamics 365	Marketing
Dynamics 365	Business Central
Power Platform	Power BI
Power Platform	Microsoft Flow
","Radhika Janardanan
","Microsoft
","dynamics 365 and power platform: data residency and migrations"
"WRK3012","Getting started with infrastructure as code for Azure with ARM Templates","Development","Hands-on Lab","Advanced (300)","Azure	Developer Tools
Azure
Azure	Management and Governance
","Satya Vel
Alexander Frankel
Brian Moore
Evan Hissey
Richard Thorn
","Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
","getting started with infrastructure as code for azure with arm templates"
"BRK2137","Use Azure’s edge infrastructure to make edge computing work for your business","Infrastructure","Session","Intermediate (200)","Azure	Microsoft Azure Stack
Azure
","Dean Paron
Natalia Mackevicius
Bernardo Caldas
","Microsoft
Microsoft
Microsoft
","use azure’s edge infrastructure to make edge computing work for your business"
"BRK3120","Learn how to run network-attached storage workflows in Azure","Infrastructure","Session","Advanced (300)","Azure	Microsoft Azure Stack
Azure
","Scott Jeschonek
","Microsoft
","learn how to run network-attached storage workflows in azure"
"BRK3126","Azure Dedicated Host deep dive","Infrastructure","Session","Advanced (300)","Azure	Migration
Azure
","Ziv Rafalovich
","Microsoft
","azure dedicated host deep dive"
"BRK3130","Bring the performance of your Azure applications to the next level","Infrastructure","Session","Advanced (300)","Azure	Migration
Azure
","Chetan Agarwal
","Microsoft Azure
","bring the performance of your azure applications to the next level"
"BRK1050","EXAM PREP: DP-100 | Designing and Implementing a Data Science Solution on Azure","Tooling","Exam Prep","Foundational (100)","Azure
Azure	AI + Machine Learning
Azure	Analytics
Azure	Blockchain
Azure	Compute
Azure	Containers
Azure	Databases
Azure	Developer Tools
Azure	DevOps 
Azure	Identity
Azure	Integration
Azure	Internet of Things
Azure	Management and Governance
Azure	Media
Azure	Microsoft Azure Stack
Azure	Migration
Azure	Mixed Reality
Azure	Mobile
Azure	Networking
Azure	Security
Azure	Storage
Azure	Web
","Glenn Morris
","Talisman
","exam prep: dp-100 | designing and implementing a data science solution on azure"
"BRK3168","Delivering services privately in your VNet with Azure Private Link","Infrastructure","Session","Advanced (300)","Azure	Migration
Azure
","Sumeet Mittal
Narayan Annamalai
","Microsoft Corporation
Microsoft
","delivering services privately in your vnet with azure private link"
"BRK3174","SCOM 2019: Customer Success stories and what’s next","Infrastructure","Customer Showcase","Advanced (300)","Azure	Compute
Azure
","Vithalprasad Gaitonde
Petr Volprecht
Christoph Pfurtscheller
","Microsoft
SAP
bwin
","scom 2019: customer success stories and what’s next"
"MCO10","IaaS VM operations","Infrastructure","Session","Advanced (300)","Azure	Identity
Azure
Azure	Migration
","Orin Thomas
","Microsoft
","iaas vm operations"
"MCO20","Azure governance and management","Infrastructure","Session","Advanced (300)","Azure	Management and Governance
Azure
","Orin Thomas
","Microsoft
","azure governance and management"
"BRK3225","Develop great workspaces with the Microsoft Teams platform: What’s new and what’s coming ","Productivity","Session","Advanced (300)","","Bill Bliss
","Microsoft
","develop great workspaces with the microsoft teams platform: what’s new and what’s coming"
"BRK3231","Take productivity to the next level with Outlook Add-ins","Productivity","Session","Advanced (300)","","Juan Balmori Labra
","Microsoft
","take productivity to the next level with outlook add-ins"
"AFUN80","What you need to know about governance in Azure","Fundamentals","Session","Foundational (100)","Azure	Management and Governance
Azure
","Anthony Bartolo
","Microsoft - @WirelessLife
","what you need to know about governance in azure"
"BRK2153","Tim Taxes and his future workplace @ Siemens - how to build a digital support function","Customer Success","Partner Led Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
Azure	Databases
Azure	Management and Governance
Azure	Security
Microsoft 365	Advanced Compliance
Microsoft 365
Microsoft 365	Applications
Power Platform	Power BI
Power Platform
","Klaus Zünkler
Michael Tobai
Florian Schelle
","Avanade Deutschland GmbH
Siemens AG
Siemens AG
","tim taxes and his future workplace @ siemens - how to build a digital support function"
"BRK2172","Microsoft Power BI: Business intelligence strategy, vision, and roadmap update","Fundamentals","Customer Showcase","Intermediate (200)","Power Platform	Power BI
Power Platform
","Amir Netz
Christian Wade
Arun Ulagaratchagan
Sarina Stevens
Tim Depledge
","Microsoft
Microsoft
Microsoft
Microsoft
BP
","microsoft power bi: business intelligence strategy, vision, and roadmap update"
"BRK1057","Architecting an elegant data management strategy with Rubrik","Infrastructure","Partner Led Session","Foundational (100)","Azure	AI + Machine Learning
Azure
Azure	Microsoft Azure Stack
Azure	Compute
Azure	Analytics
Azure	Developer Tools
Azure	Mixed Reality
Azure	Integration
Azure	Migration
Microsoft 365	Social and Intranet
Microsoft 365
Azure	Web
Azure	Containers
Microsoft 365	Applications
Azure	Internet of Things
Azure	Mobile
Azure	Security
Azure	Management and Governance
Microsoft 365	Email and Calendar
Microsoft 365	Information Protection
Microsoft 365	Threat Protection
Azure	Blockchain
Azure	DevOps 
Azure	Media
Azure	Identity
Azure	Databases
Microsoft 365	Task Management
Microsoft 365	Advanced Compliance
Microsoft 365	Operating System 
Microsoft 365	Files and Content
Azure	Networking
Microsoft 365	Advanced Analytics
Microsoft 365	Security Management
Microsoft 365	Identity and Access Management
Microsoft 365	Meetings and Voice
Microsoft 365	Device and Application Management
Azure	Storage
","Mike Nelson
Jaap Brasser
","Rubrik
Rubrik
","architecting an elegant data management strategy with rubrik"
"BRK3215","Microsoft Teams architecture update","Productivity","Session","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Bill Bliss
","Microsoft
","microsoft teams architecture update"
"THR2158","Employees are taking data when they quit","Security","Partner Led Session","Intermediate (200)","Microsoft 365	Threat Protection
Microsoft 365
Microsoft 365	Security Management
Microsoft 365	Files and Content
","Rob Juncker
","Code42
","employees are taking data when they quit"
"BRK1055","Military veterans in tech panel: Workforce of tomorrow offers more diversity","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Danny Chung
Glenn McClellan
Iasia Brown
Ryen Macababbad
Teresa Scudder
Greg Leonardo
","Microsoft
Frost Bank
Microsoft
Microsoft
Valencia College
Campus Management
","military veterans in tech panel: workforce of tomorrow offers more diversity"
"BRK2201","Bottom up innovation with Microsoft Flow","Citizen Dev","Session","Intermediate (200)","Power Platform	Microsoft Flow
Power Platform
","Jon Levesque
Kent Weare
","Microsoft Flow
Inter Pipeline @Wearsy
","bottom up innovation with microsoft flow"
"BRK1063","Modernize your Dynamics 365 business applications using mixed reality","Productivity","Customer Showcase","Foundational (100)","Dynamics 365	Product Visualize
Dynamics 365
Dynamics 365	Remote Assist
","Anna Waight
Marcio Decat
","Microsoft
Microsoft
","modernize your dynamics 365 business applications using mixed reality"
"BRK2220","Tried and tested techniques for establishing a Power Apps Center of Excellence","Management","Customer Showcase","Intermediate (200)","Power Platform	PowerApps
Power Platform
","Ladd Laird
Manuela Pichler
","Schlumberger
Microsoft
","tried and tested techniques for establishing a power apps center of excellence"
"THR2148","What's new in Azure Data Studio notebooks","Data","Session","Intermediate (200)","Azure	Databases
Azure
","Alan Yu
","Microsoft
","what's new in azure data studio notebooks"
"THR3120","Building a golden image pipeline","Infrastructure","Partner Led Session","Advanced (300)","Azure	Compute
Azure
Azure	DevOps 
Azure	Developer Tools
","Brad Stevens
","CDW
","building a golden image pipeline"
"THR2136","Create sophisticated, enterprise-ready bots from your existing data, with no code using Azure Cognitive Services QnA Maker","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Tulasi Menon
","Microsoft
","create sophisticated, enterprise-ready bots from your existing data, with no code using azure cognitive services qna maker"
"WRK4001","Building an End-to-end Analytics Pipeline with Azure Synapse Analytics","Data","Hands-on Session","Expert (400)","Azure	Databases
Azure
","Piero Morano
Arnaud Comet
","Microsoft
Microsoft
","building an end-to-end analytics pipeline with azure synapse analytics"
"THR2155","Clustering in the age of HCI and hybrid","Infrastructure","Session","Intermediate (200)","Azure	Compute
Azure
","John Marlin
","Microsoft Corporation
","clustering in the age of hci and hybrid"
"THR3127","Serverless Kubernetes with Azure Functions and Azure Kubernetes Service (AKS)","Development","Session","Advanced (300)","Azure	Compute
Azure
Azure	Containers
","Jeff Hollan
","Microsoft Azure
","serverless kubernetes with azure functions and azure kubernetes service (aks)"
"THR3124","Machine learning with Python using serverless Azure Functions","Development","Session","Advanced (300)","Tooling & Languages	Other
Tooling & Languages
","Sonia Kulkarni
","Microsoft Corporation
","machine learning with python using serverless azure functions"
"THR3126","Reducing time to development of SAP solutions by 100x with Azure Logic Apps","Development","Session","Advanced (300)","","Jon Fancey
","Microsoft
","reducing time to development of sap solutions by 100x with azure logic apps"
"THR2182","How to deploy an end-to-end knowledge mining solution in ten minutes","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Derek Legenzoff
","Microsoft
","how to deploy an end-to-end knowledge mining solution in ten minutes"
"BRK2185","Azure Portal: 10 tips to get more out of Azure","Infrastructure","Session","Intermediate (200)","Azure	Management and Governance
Azure
","Leon Welicki
","Microsoft
","azure portal: 10 tips to get more out of azure"
"BRK1103","Customer success and roadmap for Dynamics 365 Finance and Operations Applications","Customer Success","Session","Foundational (100)","Dynamics 365	Finance and Operations
Dynamics 365
Dynamics 365	Retail and Commerce
Dynamics 365	Talent
Dynamics 365	Project Service Automation
Dynamics 365	Supply Chain Management
","Mike Ehrenberg
","
","customer success and roadmap for dynamics 365 finance and operations applications"
"BRK2304","How mixed reality can accelerate your digital transformation","Fundamentals","Session","Intermediate (200)","Azure	Mixed Reality
Azure
","Sadie Van Buren
","Microsoft
","how mixed reality can accelerate your digital transformation"
"BRK3236","Get instant value from your SIEM: Best practices for Azure Sentinel","Infrastructure","Session","Advanced (300)","Azure	Security
Azure
","Nicholas DiCola
","Microsoft
","get instant value from your siem: best practices for azure sentinel"
"WRK3034R","A day in the life of a Microsoft Teams admin (Repeat)","Productivity","Hands-on Lab","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Files and Content
Microsoft 365	Meetings and Voice
","Bruce Ostrowski
James Singh
","Microsoft
Microsoft
","a day in the life of a microsoft teams admin (repeat)"
"WRK3030R","Upgrade from Skype to Microsoft Teams (Repeat)","Productivity","Hands-on Lab","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Victor Guzman Lopez
László Somi
","Microsoft
Microsoft
","upgrade from skype to microsoft teams (repeat)"
"WRK3024","Use the cloud to configure group policy on Windows 10 devices with ADMX templates and Microsoft Intune","Management","Hands-on Lab","Advanced (300)","Microsoft 365	Operating System 
Microsoft 365
","Mandi Ohlinger
","Microsoft
","use the cloud to configure group policy on windows 10 devices with admx templates and microsoft intune"
"THR2194","Unlock deep understanding across all your content with Azure AI knowledge mining solutions","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Prem Prakash
","Microsoft
","unlock deep understanding across all your content with azure ai knowledge mining solutions"
"THR1118","Not your father’s business app: The top five innovations in model-driven Power Apps that will impress users","Fundamentals","Session","Foundational (100)","Power Platform	PowerApps
Power Platform
","Mark Spilde
","Microsoft
","not your father’s business app: the top five innovations in model-driven power apps that will impress users"
"WRK1007","Microsoft Power Apps hands-on: Application Lifecycle Management on the Microsoft Power Platform","Fundamentals","Hands-on Session","Foundational (100)","Power Platform	PowerApps
Power Platform
","Per Mikkelsen
Shan McArthur
Casey Burke
","Microsoft
Microsoft
Microsoft
","microsoft power apps hands-on: application lifecycle management on the microsoft power platform"
"THR2192","Pioneering datacenter sustainability","Thought Leadership","Session","Intermediate (200)","","Sean James
","Microsoft
","pioneering datacenter sustainability"
"BRK2266","How Adobe delivers high availability to customers through multi-AZ architecture","Customer Success","Customer Showcase","Intermediate (200)","","Kevin Rhodes
Dave Beus
Igal Figlin
","Adobe
Adobe
Microsoft
","how adobe delivers high availability to customers through multi-az architecture"
"THR2216","Edge computing meets big data clusters: How data insights boost your business","Infrastructure","Partner Led Session","Intermediate (200)","Azure	Identity
Azure
Azure	DevOps 
Azure	Blockchain
Azure	Databases
Azure	Integration
Azure	Compute
Azure	Developer Tools
Azure	Internet of Things
Azure	Containers
Azure	Analytics
Azure	AI + Machine Learning
Azure	Management and Governance
Azure	Mixed Reality
Azure	Microsoft Azure Stack
Azure	Mobile
Azure	Networking
Azure	Security
Azure	Media
Azure	Migration
Azure	Storage
Azure	Web
","Jered Floyd
","Red Hat
","edge computing meets big data clusters: how data insights boost your business"
"BRK4019","Microsoft Quantum: Partners in action","Intelligence","Session","Expert (400)","Azure	Internet of Things
Azure
","Megan Brown
Julie Love
","Microsoft
Microsoft
","microsoft quantum: partners in action"
"THR2371","Keeping the seas safe with modern devices and Microsoft 365 and Microsoft Teams","Thought Leadership","Partner Led Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
Microsoft 365	Advanced Analytics
Microsoft 365	Meetings and Voice
Microsoft 365	Social and Intranet
Microsoft 365	Applications
Microsoft 365	Information Protection
Microsoft 365	Email and Calendar
Microsoft 365	Task Management
Microsoft 365	Advanced Compliance
Microsoft 365	Files and Content
Microsoft 365	Device and Application Management
Microsoft 365	Security Management
Microsoft 365	Operating System 
Microsoft 365	Threat Protection
","Eric Clark
","ABS
","keeping the seas safe with modern devices and microsoft 365 and microsoft teams"
"WRK3028","Office 365 Advanced Threat Protection deep dive","Security","Hands-on Lab","Advanced (300)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","John Engels
Pawel Partyka
","Microsoft
Security and Compliance
","office 365 advanced threat protection deep dive"
"BRK1086","Microsoft’s security team is changing the training playbook","How Microsoft transforms IT internally","Session","Foundational (100)","Not Product Specific
","Ken Sexsmith
","Microsoft
","microsoft’s security team is changing the training playbook"
"THR2217","Email is the easy part: Five pitfalls to avoid in tenant-to-tenant migrations","Thought Leadership","Partner Led Session","Intermediate (200)","Microsoft 365	Information Protection
Microsoft 365
Microsoft 365	Advanced Analytics
Microsoft 365	Device and Application Management
Microsoft 365	Email and Calendar
Microsoft 365	Applications
Microsoft 365	Identity and Access Management
Microsoft 365	Files and Content
Microsoft 365	Advanced Compliance
Microsoft 365	Threat Protection
Microsoft 365	Task Management
Microsoft 365	Social and Intranet
Microsoft 365	Security Management
Microsoft 365	Meetings and Voice
Microsoft 365	Operating System 
","Paul Robichaux
","Quadrotech
","email is the easy part: five pitfalls to avoid in tenant-to-tenant migrations"
"WRK1003","Getting started with Dynamics 365 Finance and Operations, core functionality","Fundamentals","Hands-on Session","Foundational (100)","Dynamics 365	Finance and Operations
Dynamics 365
","Glenn Morris
","Talisman
","getting started with dynamics 365 finance and operations, core functionality"
"WRK3029R2","Secure and manage your identities with Azure Active Directory (Repeat)","Security","Hands-on Lab","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Adam Harbour
","Microsoft
","secure and manage your identities with azure active directory (repeat)"
"BRK2267","How Microsoft is transforming its employee collaboration and what we learned along the way","How Microsoft transforms IT internally","Session","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Email and Calendar
Microsoft 365	Files and Content
Microsoft 365	Meetings and Voice
Microsoft 365	Social and Intranet
","David Johnson
Sara Bush
Frank Delia
","Microsoft
Microsoft
Microsoft
","how microsoft is transforming its employee collaboration and what we learned along the way"
"BRK3303","Getting your data ready to train computer vision models using Azure Machine Learning","Intelligence","Session","Advanced (300)","Azure	AI + Machine Learning
Azure
","Ranvijay Kumar
","Microsoft
","getting your data ready to train computer vision models using azure machine learning"
"THR1113","We need you to dare to be greater!","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Fatou N'diaye
","The Great Village
","we need you to dare to be greater!"
"THR2251","How Microsoft empowers employees through self-service collaboration while still protecting the company in Office 365","How Microsoft transforms IT internally","Session","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
Microsoft 365	Device and Application Management
Microsoft 365	Identity and Access Management
Microsoft 365	Information Protection
Microsoft 365	Applications
","Katia Gomes Cavalcanti
David Johnson
","Microsoft
Microsoft
","how microsoft empowers employees through self-service collaboration while still protecting the company in office 365"
"THR2271","3 real life cloud migrations with tips and gotchas from Corey Sanders","Customer Success","Session","Intermediate (200)","Azure	Migration
Azure
","Matt McSpirit
Corey Sanders
","Microsoft
Microsoft
","3 real life cloud migrations with tips and gotchas from corey sanders"
"THR2274","Microsoft Power Platform: Going under the hood of Microsoft Dynamics 365, Power Apps, Microsoft Flow, and Power BI with Charles Lamanna","Fundamentals","Session","Intermediate (200)","Power Platform	PowerApps
Power Platform
Power Platform	Power BI
Power Platform	Microsoft Flow
","Jeremy Chapman
Charles Lamanna
","Microsoft
Microsoft
","microsoft power platform: going under the hood of microsoft dynamics 365, power apps, microsoft flow, and power bi with charles lamanna"
"THR2255","How to implement automated and intelligent enterprise support using Azure Cognitive Services and Microsoft Dynamics 365","How Microsoft transforms IT internally","Session","Intermediate (200)","Dynamics 365	Finance and Operations
Dynamics 365
Azure	AI + Machine Learning
Azure
Azure	Developer Tools
","Ashish Sayal
","Microsoft
","how to implement automated and intelligent enterprise support using azure cognitive services and microsoft dynamics 365"
"THR2351","How Microsoft drives a connected data strategy that creates enterprise-wide insights and intelligence","How Microsoft transforms IT internally","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Priya Raman
","Microsoft
","how microsoft drives a connected data strategy that creates enterprise-wide insights and intelligence"
"THR2377","Bring IT security practices to IoT: How to stop threats and improve security posture","Security","Session","Intermediate (200)","Azure	Security
Azure
Azure	Internet of Things
","Idan Perkal
","Microsoft
","bring it security practices to iot: how to stop threats and improve security posture"
"THR2312","Richer code reviews in Visual Studio 2019 and Visual Studio Code","Development","Session","Intermediate (200)","Tooling & Languages	Other
Tooling & Languages
","Arjun Attam
","Microsoft
","richer code reviews in visual studio 2019 and visual studio code"
"THR2321","Refactoring made easy with IntelliCode","Development","Session","Intermediate (200)","Tooling & Languages	Visual Studio
Tooling & Languages
","Victoria Cushing
","Microsoft
","refactoring made easy with intellicode"
"THR2327","MSIX for developers: Move your Windows applications forward with UWP features","Development","Session","Intermediate (200)","Tooling & Languages	Other
Tooling & Languages
","Harshada Kshirsagar
","Microsoft
","msix for developers: move your windows applications forward with uwp features"
"BRK1113","Balancing security with how modern end users want to work: Panel and group discussion","Customer Success","Panel Discussion","Foundational (100)","Microsoft 365	Security Management
Microsoft 365
","Kelsey Vaughn
Aleš Holeček
Salwa Lalouette
Michael Martin
Terry Radenbaugh
Christophe PASQUET
Chad Whittaker
","Microsoft

AXA
Pernod Ricard
Nike
MICHELIN
Thermo Fisher Scientific
","balancing security with how modern end users want to work: panel and group discussion"
"BRK1109","Driving adoption of Microsoft SharePoint and OneDrive: Panel and group discussion","Customer Success","Panel Discussion","Foundational (100)","Microsoft 365	Files and Content
Microsoft 365
","Marcella Silva
Steve Bailey
Robert Burg
Andrew Rossman
Tyler Borja
Tucker Gibson
Colin Moloney
Stephen Velasco
David Feldman
Casper Lawaetz
Nicole Rojas
","Microsoft OneDrive & SharePoint
Microsoft
NASCAR
Franklin Templeton
Franklin Templeton Investments
Liberty Mutual Insurance
The Walt Disney Company
Ørsted
Takeda
Orsted
Takeda
","driving adoption of microsoft sharepoint and onedrive: panel and group discussion"
"BRK3304","Admin experiences across Microsoft 365: Roundtable topics","Tooling","Hands-on Session","Advanced (300)","Microsoft 365	Device and Application Management
Microsoft 365
","Kent Lowry
Tej Gill
Paolo Ciccu
Gabe Frost
Miriam Daniel
Helen Harmetz
Amesh Mansukhani
Venkat Ayyadevara
Shilpa Sinha
Aarti Nankani
Rishabh Agrawal
Beth Prichard
Melissa Martin
Chris Morrissey
Sneha Deo
","Microsoft
Microsoft
Microsoft
Microsoft
Microsoft Office
Microsoft
Microsoft
Microsoft

Microsoft
Microsoft
Microsoft
Microsoft
Microsoft Corporation
Microsoft
","admin experiences across microsoft 365: roundtable topics"
"BRK3293R","Live Events for professional event producers – multi-camera; VT; auditorium scenarios (REPEAT)","Productivity","Session","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Paul Robinson
Alex O'Donnell
","Paul Robinson
Microsoft
","live events for professional event producers – multi-camera; vt; auditorium scenarios (repeat)"
"BRK1101","Bringing your whole self to work: How diversity ignites our innovation, presented by Accenture and Avanade","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Melissa Summers
Robert Wickel
Elizabeth Derby
Nellie Borrero
","Accenture
Accenture
Avanade
Accenture
","bringing your whole self to work: how diversity ignites our innovation, presented by accenture and avanade"
"THR2330","Dynamics 365 Commerce reviews and ratings capability","Fundamentals","Session","Intermediate (200)","Dynamics 365	Retail and Commerce
Dynamics 365
","Mohan Reddy Gali Venkata
","Microsoft
","dynamics 365 commerce reviews and ratings capability"
"HOL3000","Azure VPN advanced troubleshooting","Infrastructure","Hands-on Labs","Advanced (300)","Azure	Security
Azure
Azure	Networking
","","","azure vpn advanced troubleshooting"
"HOL2016","Enabling continuous integration with Azure Pipelines","Deployment","Hands-on Labs","Intermediate (200)","Azure	Developer Tools
Azure
Azure	DevOps 
","","","enabling continuous integration with azure pipelines"
"HOL2019","Deploying Microsoft Information Protection Technologies to actively manage sensitive data","Security","Hands-on Labs","Intermediate (200)","Microsoft 365	Information Protection
Microsoft 365
","","","deploying microsoft information protection technologies to actively manage sensitive data"
